"행정구역별(1)","성별(1)","연령별(1)",2020.4/4
"마포구","계","34세",6207
"양천구","계","20세",5870
"양천구","계","21세",5723
"양천구","계","22세",5584
"양천구","계","23세",5832
"양천구","계","24세",5938
"양천구","계","25세",6070
"양천구","계","26세",6144
"양천구","계","27세",6160
"양천구","계","28세",6259
"양천구","계","29세",6194
"양천구","계","30세",5406
"양천구","계","31세",5380
"양천구","계","32세",5254
"양천구","계","33세",5150
"양천구","계","34세",5209
"강서구","계","20세",6227
"강서구","계","21세",5932
"강서구","계","22세",6520
"강서구","계","23세",7358
"강서구","계","24세",8024
"강서구","계","25세",9272
"강서구","계","26세",10093
"강서구","계","27세",10827
"강서구","계","28세",11296
"강서구","계","29세",11442
"강서구","계","30세",10543
"강서구","계","31세",10188
"강서구","계","32세",10018
"강서구","계","33세",9371
"강서구","계","34세",9548
"구로구","계","20세",4238
"구로구","계","21세",4207
"구로구","계","22세",4470
"구로구","계","23세",5047
"구로구","계","24세",5389
"구로구","계","25세",5980
"구로구","계","26세",6329
"구로구","계","27세",6388
"구로구","계","28세",6713
"구로구","계","29세",6654
"구로구","계","30세",6225
"구로구","계","31세",6130
"구로구","계","32세",6285
"구로구","계","33세",6100
"구로구","계","34세",5984
"금천구","계","20세",2339
"금천구","계","21세",2447
"금천구","계","22세",2824
"금천구","계","23세",3204
"금천구","계","24세",3551
"금천구","계","25세",4072
"금천구","계","26세",4420
"금천구","계","27세",4812
"금천구","계","28세",4790
"금천구","계","29세",4668
"금천구","계","30세",4159
"금천구","계","31세",3794
"금천구","계","32세",3717
"금천구","계","33세",3516
"금천구","계","34세",3390
"영등포구","계","20세",3737
"영등포구","계","21세",3775
"영등포구","계","22세",4236
"영등포구","계","23세",4835
"영등포구","계","24세",5337
"영등포구","계","25세",6192
"영등포구","계","26세",7065
"영등포구","계","27세",7421
"영등포구","계","28세",8176
"영등포구","계","29세",8302
"영등포구","계","30세",7441
"영등포구","계","31세",7331
"영등포구","계","32세",7378
"영등포구","계","33세",6884
"영등포구","계","34세",6757
"동작구","계","20세",4506
"동작구","계","21세",4690
"동작구","계","22세",5442
"동작구","계","23세",6131
"동작구","계","24세",6834
"동작구","계","25세",7396
"동작구","계","26세",7877
"동작구","계","27세",7883
"동작구","계","28세",7958
"동작구","계","29세",7828
"동작구","계","30세",6811
"동작구","계","31세",6651
"동작구","계","32세",6440
"동작구","계","33세",6116
"동작구","계","34세",5771
"관악구","계","20세",5444
"관악구","계","21세",5937
"관악구","계","22세",7450
"관악구","계","23세",9280
"관악구","계","24세",11109
"관악구","계","25세",12686
"관악구","계","26세",14240
"관악구","계","27세",14603
"관악구","계","28세",14724
"관악구","계","29세",13662
"관악구","계","30세",11641
"관악구","계","31세",10683
"관악구","계","32세",9727
"관악구","계","33세",8785
"관악구","계","34세",8063
"서초구","계","20세",5136
"서초구","계","21세",4732
"서초구","계","22세",4963
"서초구","계","23세",5040
"서초구","계","24세",5273
"서초구","계","25세",5460
"서초구","계","26세",5723
"서초구","계","27세",5933
"서초구","계","28세",6314
"서초구","계","29세",6517
"서초구","계","30세",5900
"서초구","계","31세",6036
"서초구","계","32세",6009
"서초구","계","33세",5790
"서초구","계","34세",5917
"강남구","계","20세",7062
"강남구","계","21세",6118
"강남구","계","22세",6547
"강남구","계","23세",6602
"강남구","계","24세",6953
"강남구","계","25세",7317
"강남구","계","26세",7900
"강남구","계","27세",8213
"강남구","계","28세",8615
"강남구","계","29세",8613
"강남구","계","30세",8158
"강남구","계","31세",8002
"강남구","계","32세",7876
"강남구","계","33세",7604
"강남구","계","34세",7656
"송파구","계","20세",7895
"송파구","계","21세",7463
"송파구","계","22세",7609
"송파구","계","23세",8405
"송파구","계","24세",8865
"송파구","계","25세",9787
"송파구","계","26세",10447
"송파구","계","27세",10828
"송파구","계","28세",11356
"송파구","계","29세",11464
"송파구","계","30세",10898
"송파구","계","31세",10752
"송파구","계","32세",10697
"송파구","계","33세",10590
"송파구","계","34세",10643
"강동구","계","20세",5185
"강동구","계","21세",4870
"강동구","계","22세",5167
"강동구","계","23세",5504
"강동구","계","24세",5910
"강동구","계","25세",6458
"강동구","계","26세",6801
"강동구","계","27세",6846
"강동구","계","28세",7451
"강동구","계","29세",7265
"강동구","계","30세",6880
"강동구","계","31세",6762
"강동구","계","32세",6784
"강동구","계","33세",6712
"강동구","계","34세",6737
