"연령별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"연령별(1)",합계,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면
"연령별(1)",계,계,계,계,계,계,계,계,계,계,계
"20-24세",17056,3178,145,131,295,386,417,357,281,117,135
"25-29세",20397,3260,231,172,446,502,585,524,282,167,140
"30-34세",26014,2541,189,136,350,452,481,370,241,127,91
