"구군별(1)",2021.12,2021.12,2021.12,2021.12,2021.12,2021.12,2021.12,2021.12,2021.12,2021.12
"구군별(1)",총인구 (명),총인구 (명),총인구 (명),내국인 (명),내국인 (명),내국인 (명),외국인 (명),외국인 (명),외국인 (명),세대수 (세대)
"구군별(1)",계,남,여,계,남,여,계,남,여,계
"울산광역시",1138419,586031,552388,1121592,576217,545375,16827,9814,7013,482650
"중구",214551,108406,106145,212883,107736,105147,1668,670,998,93633
"남구",318012,162208,155804,313819,160055,153764,4193,2153,2040,138512
"동구",157049,82326,74723,154096,80417,73679,2953,1909,1044,66201
"북구",220883,114499,106384,218735,113265,105470,2148,1234,914,85815
"울주군",227924,118592,109332,222059,114744,107315,5865,3848,2017,98489
